latitude,longitude,depth,time,id,magnitude,sizo
40.847627,28.233074,12.090039,2025-04-23 09:13:06.549706,1593,3.790803770753533,153.1212870597136
40.841242,28.229587,12.795898,2025-04-23 09:49:11.094213,1595,5.670855245708152,491.1424255409173
40.8496,28.332452,14.099023,2025-04-23 09:51:20.600468,1596,4.42993439504509,228.38055082793548
40.854081,28.283298,13.080957,2025-04-23 09:52:21.039293,1597,3.797225670318064,153.74168781174689
40.834142,28.340735,12.850195,2025-04-23 09:59:30.569255,1605,3.9212866293146247,166.2130737532107
40.851128,28.364424,11.981445,2025-04-23 10:01:03.363339,1606,4.203887059815988,198.37845592406856
40.858949,28.429092,9.320898,2025-04-23 10:02:10.863012,1607,4.493637638008195,237.60470014889907
40.85686,28.414487,12.198633,2025-04-23 10:02:33.558016,1608,5.111307548445567,348.1857003233284
40.860366,28.263681,8.832227,2025-04-23 10:46:14.186943,1692,3.911796829221197,165.2256350528201
40.855307,28.3978,12.524414,2025-04-23 11:21:40.618042,1758,3.732601571738221,147.60728070993645
40.851331,28.331936,13.515332,2025-04-23 11:50:36.542575,1796,4.061154738279519,181.44495388804853
40.849199,28.333319,14.004004,2025-04-23 12:12:58.224836,1824,5.0862595091687455,342.8505501391078
40.853389,28.299107,12.198633,2025-04-23 21:00:16.706311,2268,3.740140674688169,148.31061082963546
40.824808,28.110073,11.709961,2025-04-24 01:20:03.795649,2413,3.793010921045033,153.3342411073343
40.852971,28.309704,13.135254,2025-04-24 04:19:19.879751,2508,4.246492824787244,203.72355948518975
40.85351,28.30623,12.537988,2025-04-24 14:52:54.495078,2648,3.757810699208796,149.9717093135663
40.85469,28.429071,10.51543,2025-04-25 17:33:17.037255,3034,4.3989513793906685,224.02132701743065
40.856809,28.432557,10.624023,2025-04-25 18:07:13.617708,3074,3.75074590995443,149.30543798673264
40.836484,28.194838,11.655664,2025-05-03 08:36:55.863562,3858,3.80005672601318,154.0159554034685
40.852094,28.404735,11.764258,2025-05-13 04:18:16.145620,4266,3.9363119206271873,167.78815352096416
40.844973,28.225425,9.049414,2025-05-13 17:46:31.827437,4294,3.852351434239165,159.1677119369091
40.819663,28.385832,17.248242,2025-05-20 20:36:53.989477,4527,4.039557080396391,179.00783622810434
